Song Clean,ARTIST CLEAN,Release Year,COMBINED,First?,Year?,PlayCount,F*G
Dream On,Aerosmith,1973,Dream On by Aerosmith,1,1,142,142
Sweet Emotion,Aerosmith,1975,Sweet Emotion by Aerosmith,1,1,141,141
All Along the Watchtower,Jimi Hendrix,1968,All Along the Watchtower by Jimi Hendrix,1,1,141,141
You Shook Me All Night Long,AC/DC,1980,You Shook Me All Night Long by AC/DC,1,1,138,138
More Than a Feeling,Boston,1976,More Than a Feeling by Boston,1,1,134,134
Carry On Wayward Son,Kansas,1976,Carry On Wayward Son by Kansas,1,1,134,134
Peace of Mind,Boston,1976,Peace of Mind by Boston,1,1,132,132
Crazy On You,Heart,1976,Crazy On You by Heart,1,1,125,125
Legs,ZZ Top,1983,Legs by ZZ Top,1,1,121,121
Sharp Dressed Man,ZZ Top,1983,Sharp Dressed Man by ZZ Top,1,1,120,120
Rock And Roll All Nite,Kiss,1975,Rock And Roll All Nite by Kiss,1,1,119,119
Bohemian Rhapsody,Queen,1975,Bohemian Rhapsody by Queen,1,1,119,119
Renegade,Styx,1978,Renegade by Styx,1,1,116,116
Magic Man,Heart,1976,Magic Man by Heart,1,1,115,115
Wheel in the Sky,Journey,1978,Wheel in the Sky by Journey,1,1,114,114
Blinded by the Light,Manfred Mann,1976,Blinded by the Light by Manfred Mann,1,1,114,114
Tom Sawyer,Rush,1981,Tom Sawyer by Rush,1,1,114,114
The Joker,Steve Miller Band,1973,The Joker by Steve Miller Band,1,1,114,114
Barracuda,Heart,1977,Barracuda by Heart,1,1,113,113
Just What I Needed,The Cars,1978,Just What I Needed by The Cars,1,1,113,113
La Grange,ZZ Top,1973,La Grange by ZZ Top,1,1,111,111
I Want You to Want Me,Cheap Trick,1977,I Want You to Want Me by Cheap Trick,1,1,110,110
Hotel California,Eagles,1976,Hotel California by Eagles,1,1,109,109
Tush,ZZ Top,1975,Tush by ZZ Top,1,1,109,109
Burnin' for You,Blue Oyster Cult,1981,Burnin' for You by Blue Oyster Cult,1,1,107,107
Walk This Way,Aerosmith,1975,Walk This Way by Aerosmith,1,1,106,106
The Boys Are Back In Town,Thin Lizzy,1976,The Boys Are Back In Town by Thin Lizzy,1,1,106,106
Dance the Night Away,Van Halen,1979,Dance the Night Away by Van Halen,1,1,106,106
Paranoid,Black Sabbath,1970,Paranoid by Black Sabbath,1,1,105,105
Any Way You Want It,Journey,1980,Any Way You Want It by Journey,1,1,105,105
Don't Stop Believin',Journey,1981,Don't Stop Believin' by Journey,1,1,105,105
Black Dog,Led Zeppelin,1971,Black Dog by Led Zeppelin,1,1,105,105
Cold As Ice,Foreigner,1977,Cold As Ice by Foreigner,1,1,102,102
Another One Bites the Dust,Queen,1980,Another One Bites the Dust by Queen,1,1,102,102
Rock 'N Me,Steve Miller Band,1976,Rock 'N Me by Steve Miller Band,1,1,102,102
Separate Ways (Worlds Apart),Journey,1983,Separate Ways (Worlds Apart) by Journey,1,1,100,100
(Don't Fear) The Reaper,Blue Oyster Cult,1976,(Don't Fear) The Reaper by Blue Oyster Cult,1,1,99,99
Layla,Derek & The Dominos,1970,Layla by Derek & The Dominos,1,1,99,99
Back In Black,AC/DC,1980,Back In Black by AC/DC,1,1,97,97
All Right Now,Free,1970,All Right Now by Free,1,1,97,97
Refugee,Tom Petty & The Heartbreakers,1979,Refugee by Tom Petty & The Heartbreakers,1,1,97,97
Bad Company,Bad Company,1974,Bad Company by Bad Company,1,1,96,96
Gimme Shelter,Rolling Stones,1969,Gimme Shelter by Rolling Stones,1,1,96,96
Runnin' Down a Dream,Tom Petty & The Heartbreakers,1989,Runnin' Down a Dream by Tom Petty & The Heartbreakers,1,1,96,96
Jamie's Cryin',Van Halen,1978,Jamie's Cryin' by Van Halen,1,1,96,96
Sweet Home Alabama,Lynyrd Skynyrd,1974,Sweet Home Alabama by Lynyrd Skynyrd,1,1,95,95
Foreplay (Long Time),Boston,1976,Foreplay (Long Time) by Boston,1,1,94,94
Over the Hills and Far Away,Led Zeppelin,1973,Over the Hills and Far Away by Led Zeppelin,1,1,94,94
Who Are You,The Who,1978,Who Are You by The Who,1,1,94,94
Lights,Journey,1978,Lights by Journey,1,1,93,93
In the Air Tonight,Phil Collins,1981,In the Air Tonight by Phil Collins,1,1,93,93
Come Sail Away,Styx,1977,Come Sail Away by Styx,1,1,93,93
Highway To Hell,AC/DC,1979,Highway To Hell by AC/DC,1,1,92,92
Rock and Roll,Led Zeppelin,1971,Rock and Roll by Led Zeppelin,1,1,92,92
Comfortably Numb,Pink Floyd,1979,Comfortably Numb by Pink Floyd,1,1,92,92
Turn The Page,Bob Seger,1973,Turn The Page by Bob Seger,1,1,91,91
Ramble On,Led Zeppelin,1969,Ramble On by Led Zeppelin,1,1,90,90
Limelight,Rush,1981,Limelight by Rush,1,1,90,90
Free Fallin',Tom Petty & The Heartbreakers,1989,Free Fallin' by Tom Petty & The Heartbreakers,1,1,90,90
Rebel Yell,Billy Idol,1984,Rebel Yell by Billy Idol,1,1,89,89
We Will Rock You/We Are The Champions,Queen,1977,We Will Rock You/We Are The Champions by Queen,1,1,89,89
Miss You,Rolling Stones,1978,Miss You by Rolling Stones,1,1,89,89
Panama,Van Halen,1984,Panama by Van Halen,1,1,89,89
Photograph,Def Leppard,1983,Photograph by Def Leppard,1,1,88,88
D'Yer Mak'er,Led Zeppelin,1973,D'Yer Mak'er by Led Zeppelin,1,1,88,88
Breakdown,Tom Petty & The Heartbreakers,1977,Breakdown by Tom Petty & The Heartbreakers,1,1,88,88
New Year's Day,U2,1983,New Year's Day by U2,1,1,88,88
Wanted Dead or Alive,Bon Jovi,1986,Wanted Dead or Alive by Bon Jovi,1,1,87,87
Immigrant Song,Led Zeppelin,1970,Immigrant Song by Led Zeppelin,1,1,87,87
Wish You Were Here,Pink Floyd,1975,Wish You Were Here by Pink Floyd,1,1,87,87
Honky Tonk Women,Rolling Stones,1969,Honky Tonk Women by Rolling Stones,1,1,87,87
Don't Look Back,Boston,1978,Don't Look Back by Boston,1,1,86,86
Life in the Fast Lane,Eagles,1976,Life in the Fast Lane by Eagles,1,1,86,86
Beast Of Burden,Rolling Stones,1978,Beast Of Burden by Rolling Stones,1,1,86,86
Message In A Bottle,The Police,1979,Message In A Bottle by The Police,1,1,86,86
Gimme All Your Lovin,ZZ Top,1983,Gimme All Your Lovin by ZZ Top,1,1,86,86
Hold On Loosely,.38 Special,1981,Hold On Loosely by .38 Special,1,1,85,85
Dirty Deeds Done Dirt Cheap,AC/DC,1976,Dirty Deeds Done Dirt Cheap by AC/DC,1,1,85,85
Don't Bring Me Down,Electric Light Orchestra,1979,Don't Bring Me Down by Electric Light Orchestra,1,1,85,85
Sweet Child O' Mine,Guns N' Roses,1987,Sweet Child O' Mine by Guns N' Roses,1,1,85,85
Live and Let Die,Paul McCartney & Wings,1973,Live and Let Die by Paul McCartney & Wings,1,1,85,85
Fly Like an Eagle,Steve Miller Band,1976,Fly Like an Eagle by Steve Miller Band,1,1,85,85
Baba O'Reilly,The Who,1971,Baba O'Reilly by The Who,1,1,85,85
White Wedding,Billy Idol,1982,White Wedding by Billy Idol,1,1,84,84
Cocaine,Eric Clapton,1977,Cocaine by Eric Clapton,1,1,84,84
Money,Pink Floyd,1973,Money by Pink Floyd,1,1,84,84
Here I Go Again,Whitesnake,1987,Here I Go Again by Whitesnake,1,1,84,84
The Stroke,Billy Squier,1981,The Stroke by Billy Squier,1,1,83,83
Double Vision,Foreigner,1978,Double Vision by Foreigner,1,1,83,83
All My Love,Led Zeppelin,1979,All My Love by Led Zeppelin,1,1,83,83
Start Me Up,Rolling Stones,1981,Start Me Up by Rolling Stones,1,1,83,83
Hard To Handle,The Black Crowes,1990,Hard To Handle by The Black Crowes,1,1,83,83
Caught Up in You,.38 Special,1982,Caught Up in You by .38 Special,1,1,82,82
Hot Blooded,Foreigner,1978,Hot Blooded by Foreigner,1,1,82,82
I Love Rock 'n Roll,Joan Jett,1981,I Love Rock 'n Roll by Joan Jett,1,1,82,82
Bang a Gong (Get It On),T. Rex,1971,Bang a Gong (Get It On) by T. Rex,1,1,82,82
Sympathy For The Devil,Rolling Stones,1968,Sympathy For The Devil by Rolling Stones,1,1,81,81
Runnin' with the Devil,Van Halen,1978,Runnin' with the Devil by Van Halen,1,1,81,81
Low Rider,War,1975,Low Rider by War,1,1,81,81
Owner of a Lonely Heart,Yes,1983,Owner of a Lonely Heart by Yes,1,1,81,81
Lonely Is the Night,Billy Squier,1981,Lonely Is the Night by Billy Squier,1,1,80,80
American Woman,Guess Who,1970,American Woman by Guess Who,1,1,80,80
Heartbreaker,Pat Benatar,1979,Heartbreaker by Pat Benatar,1,1,80,80
Sultans of Swing,Dire Straits,1978,Sultans of Swing by Dire Straits,1,1,79,79
Stairway to Heaven,Led Zeppelin,1971,Stairway to Heaven by Led Zeppelin,1,1,79,79
Crazy Train,Ozzy Osbourne,1980,Crazy Train by Ozzy Osbourne,1,1,79,79
Centerfold,J. Geils Band,1981,Centerfold by J. Geils Band,1,1,78,78
Edge of Seventeen,Stevie Nicks,1981,Edge of Seventeen by Stevie Nicks,1,1,78,78
Go Your Own Way,Fleetwood Mac,1977,Go Your Own Way by Fleetwood Mac,1,1,77,77
Slow Ride,Foghat,1975,Slow Ride by Foghat,1,1,77,77
The Spirit of Radio,Rush,1980,The Spirit of Radio by Rush,1,1,77,77
No One Like You,Scorpions,1982,No One Like You by Scorpions,1,1,76,76
The Logical Song,Supertramp,1979,The Logical Song by Supertramp,1,1,76,76
I Won't Back Down,Tom Petty & The Heartbreakers,1989,I Won't Back Down by Tom Petty & The Heartbreakers,1,1,76,76
Take It Easy,Eagles,1972,Take It Easy by Eagles,1,1,75,75
Feels Like the First Time,Foreigner,1977,Feels Like the First Time by Foreigner,1,1,75,75
Juke Box Hero,Foreigner,1981,Juke Box Hero by Foreigner,1,1,75,75
Twilight Zone,Golden Earring,1983,Twilight Zone by Golden Earring,1,1,75,75
Paradise City,Guns N' Roses,1987,Paradise City by Guns N' Roses,1,1,75,75
Free Bird,Lynyrd Skynyrd,1973,Free Bird by Lynyrd Skynyrd,1,1,75,75
Roxanne,The Police,1978,Roxanne by The Police,1,1,75,75
Behind Blue Eyes,The Who,1971,Behind Blue Eyes by The Who,1,1,75,75
Hells Bells,AC/DC,1980,Hells Bells by AC/DC,1,1,74,74
Livin' On A Prayer,Bon Jovi,1986,Livin' On A Prayer by Bon Jovi,1,1,74,74
Welcome to the Jungle,Guns N' Roses,1987,Welcome to the Jungle by Guns N' Roses,1,1,74,74
Time,Pink Floyd,1973,Time by Pink Floyd,1,1,74,74
American Girl,Tom Petty & The Heartbreakers,1977,American Girl by Tom Petty & The Heartbreakers,1,1,74,74
The Boys Of Summer,Don Henley,1985,The Boys Of Summer by Don Henley,1,1,73,73
Jack & Diane,John Mellencamp,1982,Jack & Diane by John Mellencamp,1,1,73,73
Under Pressure,Queen / David Bowie,1981,Under Pressure by Queen / David Bowie,1,1,73,73
