STATEFP, STATENS, AFFGEOID, GEOID, STUSPS, NAME, LSAD, ALAND, AWATER
1,1779775,0400000US01,1,AL,Alabama,0,1.31174E+11,4593686489
2,1785533,0400000US02,2,AK,Alaska,0,1.47795E+12,2.4539E+11
4,1779777,0400000US04,4,AZ,Arizona,0,2.94199E+11,1027346486
5,68085,0400000US05,5,AR,Arkansas,0,1.34772E+11,2960191698
6,1779778,0400000US06,6,CA,California,0,4.03501E+11,20466718403
8,1779779,0400000US08,8,CO,Colorado,0,2.68429E+11,1175112870
9,1779780,0400000US09,9,CT,Connecticut,0,12542638347,1815476291
10,1779781,0400000US10,10,DE,Delaware,0,5047194742,1398720828
11,1702382,0400000US11,11,DC,District of Columbia,0,158364992,18633403
12,294478,0400000US12,12,FL,Florida,0,1.38924E+11,31386038155
13,1705317,0400000US13,13,GA,Georgia,0,1.4917E+11,4741100880
15,1779782,0400000US15,15,HI,Hawaii,0,16634100855,11777698394
16,1779783,0400000US16,16,ID,Idaho,0,2.14043E+11,2398669593
17,1779784,0400000US17,17,IL,Illinois,0,1.43789E+11,6206693598
18,448508,0400000US18,18,IN,Indiana,0,92790545247,1536767065
19,1779785,0400000US19,19,IA,Iowa,0,1.44668E+11,1077808017
20,481813,0400000US20,20,KS,Kansas,0,2.11753E+11,1346235678
21,1779786,0400000US21,21,KY,Kentucky,0,1.02266E+11,2388770991
22,1629543,0400000US22,22,LA,Louisiana,0,1.11905E+11,23746303848
23,1779787,0400000US23,23,ME,Maine,0,79885221885,11748755195
24,1714934,0400000US24,24,MD,Maryland,0,25147754905,6983312282
25,606926,0400000US25,25,MA,Massachusetts,0,20204442852,7130620748
26,1779789,0400000US26,26,MI,Michigan,0,1.46455E+11,1.04032E+11
27,662849,0400000US27,27,MN,Minnesota,0,2.06232E+11,18929176411
28,1779790,0400000US28,28,MS,Mississippi,0,1.2153E+11,3930505829
29,1779791,0400000US29,29,MO,Missouri,0,1.78053E+11,2487575477
30,767982,0400000US30,30,MT,Montana,0,3.76965E+11,3866986696
31,1779792,0400000US31,31,NE,Nebraska,0,1.98973E+11,1356290940
32,1779793,0400000US32,32,NV,Nevada,0,2.84329E+11,2047350887
33,1779794,0400000US33,33,NH,New Hampshire,0,23187396994,1028678842
34,1779795,0400000US34,34,NJ,New Jersey,0,19050755048,3541927612
35,897535,0400000US35,35,NM,New Mexico,0,3.14169E+11,755722962
36,1779796,0400000US36,36,NY,New York,0,1.22053E+11,19243095591
37,1027616,0400000US37,37,NC,North Carolina,0,1.25921E+11,13470062955
38,1779797,0400000US38,38,ND,North Dakota,0,1.78712E+11,4399093501
39,1085497,0400000US39,39,OH,Ohio,0,1.05833E+11,10264595056
40,1102857,0400000US40,40,OK,Oklahoma,0,1.77664E+11,3373836066
41,1155107,0400000US41,41,OR,Oregon,0,2.48604E+11,6195105690
42,1779798,0400000US42,42,PA,Pennsylvania,0,1.15882E+11,3396805575
44,1219835,0400000US44,44,RI,Rhode Island,0,2677898725,1323551636
45,1779799,0400000US45,45,SC,South Carolina,0,77861720871,5070943755
46,1785534,0400000US46,46,SD,South Dakota,0,1.96348E+11,3380782733
47,1325873,0400000US47,47,TN,Tennessee,0,1.06798E+11,2355188876
48,1779801,0400000US48,48,TX,Texas,0,6.76633E+11,19025991684
49,1455989,0400000US49,49,UT,Utah,0,2.12886E+11,6999529104
50,1779802,0400000US50,50,VT,Vermont,0,23873467535,1031124865
51,1779803,0400000US51,51,VA,Virginia,0,1.02257E+11,8528605825
53,1779804,0400000US53,53,WA,Washington,0,1.72113E+11,12558451099
54,1779805,0400000US54,54,WV,West Virginia,0,62265597146,489902816
55,1779806,0400000US55,55,WI,Wisconsin,0,1.40274E+11,29361386480
56,1779807,0400000US56,56,WY,Wyoming,0,2.51465E+11,1861273298
60,1802701,0400000US60,60,AS,American Samoa,0,197759069,1307243753
66,1802705,0400000US66,66,GU,Guam,0,543558310,934334983
69,1779809,0400000US69,69,MP,Commonwealth of the Northern Mariana Islands,0,472276664,4644268325
72,1779808,0400000US72,72,PR,Puerto Rico,0,8868100460,4923178155
78,1802710,0400000US78,78,VI,United States Virgin Islands,0,348013113,1550244955
