Song,Artist,Release Year,Rank,Play Count
01. Dream On,Aerosmith,1973,1,142
02. Sweet Emotion,Aerosmith,1975,2,141
03. All Along the Watchover,Jimi Hendrix,1968,3,141
04. You Shook Me All Night Along,AC/DC,1980,4,138
05. More Than a Feeling,Boston,1976,5,134
06. Carry On Wayward Son,Kansas,1976,6,134
07. Peace of Mind,Boston,1976,7,132
08. Crazy on You,Heart,1976,8,125
09. Legs,ZZ Top,1983,9,121
10.Sharp Dressed Man,ZZ Top,1983,10,120
11. Rock and Roll All Night,Kiss,1975,11,119
12. Bohemian Rhapsody,Queen,1975,12,119
13. Renegade,Styx,1978,13,116
14. Magic Man,Heart,1976,14,115
15. Wheel in the Sky,Journey,1978,15,114
15. Blinded by the Light,Manfred Mann,1976,15,114
15. Tom Sawyer,Rush,1981,15,114
15. The Joker,Steve Miller Band,1973,15,114
