Artist,Percentage of Plays,City with most Plays,Percentage of all plays in top city
Led Zeppelin,41,New York,70
Van Halen,33,Denver,59
The Rolling Stones,30,Tampa Bay,50
Pink Floyd,28,Charlotte,41
Tom Petty & The Heartbreakers,26,Tampa Bay,42
AC/DC,23,Denver,63
Aerosmith,22,Tampa Bay,37
ZZ Top,19,Kansas City,31
The Beatles,19,Philadelphia,48
Queen,18,Denver,34
Journey,18,Tampa Bay,32
Boston,19,Kansas City,30
Eagles,18,Tampa Bay,38
Foreigner,17,San Diego,25
The Who,17,Seattle,40
The Cars,16,Sacramento,27
Bad Company,15,San Antonio,24
Steve Miller Band,15,Detroit,25
The Doors,14,New York,32
Fleetwood Mac,14,Tampa Bay,30
Rush,13,Kansas City,23
Lynyrd Skynyrd,13,Kansas City,32
Def Leppard,13,Denver,27
U2,12,Boston,27
Heart,12,Houston,34
